"","State","Year","Political_Party","New_Policies","Cumulative_Policies"
"1","AK",2014,"Independent to Republican",1,12
"2","AR",2015,"Republican to Democrat",2,53
"3","AZ",2003,"Democrat to Republican",1,72
"4","AZ",2004,"Democrat to Republican",1,69
"5","AZ",2005,"Democrat to Republican",1,70
"6","AZ",2006,"Republican to Democrat",4,76
"7","AZ",2007,"Republican to Democrat",4,80
"8","AZ",2008,"Republican to Democrat",6,86
"9","AZ",2009,"Republican to Democrat",4,90
"10","CA",2011,"Democrat to Republican",13,203
"11","CO",2007,"Democratic to Republican",5,295
"12","CT",2011,"Democrat to Republican",2,400
"13","GA",2003,"Republican to Democratic",2,557
"14","HI",2010,"Democrat to Republican",2,617
"15","IA",2011,"Republican to Democratic",1,659
"16","IN",2005,"Republican to Democrat",1,769
"17","KY",2007,"Democratic to Republican",2,851
"18","KY",2015,"Republican to Democratic",2,862
"19","LA",2004,"Democratic to Republican",1,875
"20","LA",2016,"Democratic to Republican",1,888
"21","MA",2007,"Democratic to Republican",3,929
"22","MA",2015,"Republican to Democratic",2,946
"23","MD",2007,"Democratic to Republican",2,1050
"24","MD",2015,"Republican to Democratic",7,1022
"25","ME",2003,"Democratic to Independent",1,1066
"26","ME",2011,"Republican to Democratic",1,1075
"27","MI",2003,"Democratic to Republican",1,1094
"28","MI",2011,"Republican to Democratic",2,1128
"29","MN",2003,"Republican to Minnesota Independence Party",1,1156
"30","MN",2011,"Democratic-Farmer-Labor to Republican",5,1250
"31","MO",2009,"Democratic to Republican",3,1301
"32","MS",2000,"Democratic to Republican",1,1330
"33","MT",2005,"Democratic to Republican",2,1360
"34","NC",2013,"Republican to Democratic",1,1427
"35","NJ",2010,"Republican to Democratic",4,1545
"36","NM",2003,"Democratic to Republican",1,1576
"37","NM",2011,"Republican to Democratic",2,1595
"38","NY",2007,"Democratic to Republican",3,1651
"39","OH",2007,"Democratic to Republican",2,1733
"40","OH",2011,"Republican to Democratic",3,1753
"41","OK",2011,"Republican to Democratic",4,1777
"42","PA",2003,"Democratic to Republican",1,1900
"43","PA",2011,"Republican to Democratic",4,1930
"44","PA",2015,"Democratic to Republican",2,1933
"45","RI",2011,"Democratic to Republican",1,1982
"46","TN",2011,"Republican to Democratic",1,2063
"47","VA",2000,"Democratic to Republican",2,2261
"48","VA",2001,"Democratic to Republican",1,2266
"49","VA",2010,"Republican to Democratic",5,2244
"50","VA",2011,"Republican to Democratic",4,2248
"51","VA",2012,"Republican to Democratic",1,2273
"52","VA",2014,"Democratic to Republican",2,2250
"53","VA",2015,"Independent to Democratic",5,2255
"54","VA",2016,"Independent to Democratic",3,2276
"55","WI",2003,"Democratic to Republican",1,2446
"56","WI",2011,"Republican to Democratic",3,2470
"57","WV",2001,"Democratic to Republican",2,2488
"58","WY",2003,"Democratic to Republican",2,2496
"59","WY",2011,"Republican to Democratic",2,2511
