"","State","Year","New_Policies","Renewable_Percent"
"1","US",2000,0,4
"2","US",2001,0,4
"3","US",2002,6,4
"4","US",2003,3,4
"5","US",2004,1,4
"6","US",2005,1,4
"7","US",2006,5,5
"8","US",2007,1,5
"9","US",2008,1,5
"10","US",2009,0,6
"11","US",2010,1,6
"12","US",2011,0,7
"13","US",2012,1,7
"14","US",2013,0,7
"15","US",2014,0,7
"16","US",2015,4,7
"17","US",2016,0,8
"18","US",2017,0,8
"19","US",2018,0,8
"20","US",2019,0,8
"21","US",2020,0,8
"22","US",2021,1,8
"23","US",2022,3,9
"24","US",2023,0,9
